id,Timestamp,Category,Money,Description,Details
2412916034,2025-07-19 06:01:38,sales,2668,Ventas de Queso,"{""action"": ""take"", ""building"": {""id"": 42130503, ""size"": 3, ""name"": ""Grocery store""}, ""busy"": {""id"": 582423203}, ""quality"": ""0.000"", ""price"": ""$161.000"", ""unit_cogs"": ""$98.889"", ""remaining"": 0}"
2412881023,2025-07-19 05:15:34,contract,-76000,Agua contrato de TeslaKev.Inc,"{""Cantidad"": 200000, ""Calidad"": 0, ""Precio"": ""$0.380""}"
2412881021,2025-07-19 05:15:32,contract,-54000,Semillas contrato de TeslaKev.Inc,"{""Cantidad"": 200000, ""Calidad"": 0, ""Precio"": ""$0.270""}"
2412881001,2025-07-19 05:15:30,contract,-54000,Semillas contrato de TeslaKev.Inc,"{""Cantidad"": 200000, ""Calidad"": 0, ""Precio"": ""$0.270""}"
2412880896,2025-07-19 05:15:17,sales,48126,Ventas de Queso,"{""action"": ""take"", ""building"": {""id"": 44067442, ""size"": 3, ""name"": ""Tienda de comestibles""}, ""busy"": {""id"": 582576053}, ""quality"": ""0.000"", ""price"": ""$161.000"", ""unit_cogs"": ""$98.889"", ""remaining"": 25760}"
2412880429,2025-07-19 05:14:34,production,-31491,Producción de Grano,"{""Precio"": ""$0.622"", ""Calidad"": 0, ""Cantidad"": 194394}"
2412880352,2025-07-19 05:14:26,sales,76224,Ventas de Queso,"{""action"": ""take"", ""building"": {""id"": 42306598, ""size"": 4, ""name"": ""Tienda de comestibles""}, ""busy"": {""id"": 582822907}, ""quality"": ""0.922"", ""price"": ""$161.000"", ""unit_cogs"": ""$99.452"", ""remaining"": 154189}"
2412880342,2025-07-19 05:14:24,sales,51086,Ventas de Queso,"{""action"": ""take"", ""building"": {""id"": 42130503, ""size"": 3, ""name"": ""Tienda de comestibles""}, ""busy"": {""id"": 582423203}, ""quality"": ""0.000"", ""price"": ""$161.000"", ""unit_cogs"": ""$98.889"", ""remaining"": 2668}"
2412821010,2025-07-19 04:08:20,executive salaries,-6723,Sueldos de directores,{}
2412074100,2025-07-18 16:33:56,sales,5072,Ventas de Queso,"{""action"": ""take"", ""building"": {""id"": 44067442, ""size"": 3, ""name"": ""Tienda de comestibles""}, ""busy"": {""id"": 582576053}, ""quality"": ""0.000"", ""price"": ""$161.000"", ""unit_cogs"": ""$98.889"", ""remaining"": 73886}"
2412074047,2025-07-18 16:33:54,sales,8012,Ventas de Queso,"{""action"": ""take"", ""building"": {""id"": 42306598, ""size"": 4, ""name"": ""Tienda de comestibles""}, ""busy"": {""id"": 582822907}, ""quality"": ""0.922"", ""price"": ""$161.000"", ""unit_cogs"": ""$99.452"", ""remaining"": 230413}"
