Timestamp,Cash,Accounts Receivable,Inventory - materials,Inventory - research,Inventory - work in process,Inventory - finished goods,Inventory - valuation allowance,Deposits,Investment in bonds,Buildings,Patents,Liabilities,Contributed Capital,Retained Earnings
2025-07-19 01:04:57,1694948,117945,3324294,12880,532853,313117,-132871,0,0,1721550,45432,0,639860,6990288
2025-07-18 01:12:14,1771255,25492,3299691,12880,574230,244247,-180889,0,0,1721550,45432,0,639860,6874028
2025-07-17 01:14:43,1525162,14225,3118999,1600,796522,265190,-257172,0,0,1721550,5184,0,571860,6619400
2025-07-16 01:05:12,657831,38550,4031940,1600,472687,228746,-198809,0,0,1721550,5184,0,571860,6387419
2025-07-15 01:11:27,730709,47884,3617435,1600,643629,305520,-182170,0,0,1721550,5184,0,571860,6319481
2025-07-14 01:11:31,710967,23289,3605945,1600,590939,323082,-201332,0,0,1721550,5184,0,571860,6209364
2025-07-13 01:06:23,960133,50786,3402466,1600,403516,405408,-256406,0,0,1707750,5184,0,571860,6108577
2025-07-12 01:18:40,867014,2916,2956995,1600,883986,421328,-238141,0,0,1707750,5184,0,571860,6036772
2025-07-11 01:07:00,1215666,125555,3058674,1600,232232,484743,-221500,0,0,1697400,5184,0,571860,6027694
2025-07-10 01:05:10,384119,59035,3377420,1600,638489,506131,-353508,0,0,1697400,5184,0,571860,5744010
2025-07-09 01:08:04,287835,23501,3690955,1600,311415,538226,-356339,0,0,1697400,5184,0,571860,5627917
2025-07-08 01:14:20,309322,27584,3203256,1600,676229,554306,-334379,0,0,1697400,5184,0,571860,5568642
2025-07-07 01:06:00,675308,17704,3186694,1600,247839,568084,-284305,0,0,1697400,5184,0,571860,5543648
2025-07-06 01:10:59,699939,51404,2817711,1600,519679,556654,-293768,0,0,1697400,5184,0,571860,5483942
2025-07-05 01:15:51,612752,18418,2437357,1600,1033384,467051,-276845,0,0,1697400,5184,0,571860,5424441
2025-07-04 01:03:06,1123821,15133,2818584,1600,163059,441493,-274372,0,0,1697400,5184,0,571860,5420042
2025-07-03 01:14:58,984723,13044,1919645,1600,1127688,466222,-299963,0,0,1697400,5184,0,571860,5343683
2025-07-01 01:02:43,536454,304197,2705732,1600,237725,492864,-270670,0,0,1697400,5184,0,571860,5138626
2025-06-30 01:09:10,543177,75869,2527709,1600,612220,454825,-242383,0,0,1697400,5184,0,571860,5103741
2025-06-29 01:04:05,868996,225969,2430620,1600,244561,413470,-303970,0,0,1697400,5184,0,571860,5011970
2025-06-28 01:06:54,875719,25179,2082238,1600,789806,356010,-262359,0,0,1697400,5184,0,571860,4998917
2025-06-27 01:07:33,1241298,90288,2175820,1600,190216,364703,-232155,0,0,1697400,5184,0,571860,4962494
2025-06-26 01:06:27,1029217,85605,1932381,1600,726372,374351,-245807,0,0,1697400,5184,200000,571860,4834443
2025-06-25 01:06:14,1542535,29083,1844849,1600,380125,352770,-206346,0,0,1697400,5184,200000,571860,4875340
2025-06-24 01:08:53,1777017,51568,1315557,1600,605428,304940,-69149,0,0,1697400,5184,200000,571860,4917685
2025-06-23 01:09:46,1859544,111072,1342674,1600,661214,249203,-68996,0,0,1697400,5184,400000,571860,4887035
2025-06-22 01:06:13,1536653,43992,1579645,1600,697385,229180,-70111,0,0,1697400,5184,400000,571860,4749068
2025-06-21 01:13:22,1332565,41923,1470473,1600,811055,262409,-56371,0,0,1697400,5184,400000,571860,4594378
2025-06-20 01:07:00,448184,67780,1860034,1600,1127214,249666,-114858,0,0,1697400,5184,550000,571860,4220344
2025-06-19 01:07:26,607351,30174,2173270,1600,571551,289706,5841,0,0,1697400,5184,550000,571860,4260218
2025-07-25 01:02:57,1452316,247585,3330081,12880,574146,414021,15074,0,0,2066550,45432,0,639860,7518226
2025-07-24 01:03:39,1639186,121303,3591650,12880,82531,424188,-51844,0,0,2066550,45432,0,639860,7292016
2025-07-23 01:11:25,1133730,47182,3494701,12880,672470,374817,-16267,0,0,2066550,45432,0,639860,7191635
2025-07-22 01:08:10,569486,2773,3487098,12880,1085424,369202,-119729,0,0,2066550,45432,0,639860,6879256
2025-07-21 01:11:42,1285042,109172,3563065,12880,558460,430122,-133723,0,0,1894050,45432,0,639860,7124640
2025-07-20 01:13:34,1307836,39036,3228849,12880,971995,407433,-123937,0,0,1807800,45432,0,639860,7057464
2025-08-05 01:08:21,1927568,70977,3319741,12880,1034754,840794,-119286,0,0,2094150,45432,0,639860,8587150
2025-08-04 01:09:24,2097992,72937,2304725,12880,1742947,890435,-128776,0,0,2094150,45432,0,639860,8492862
2025-08-03 01:04:58,1900785,168531,3649946,12880,488436,828127,-118494,0,0,2094150,45432,0,639860,8429933
2025-08-02 01:08:14,2321610,28964,3327441,12880,514304,786922,-140467,0,0,2094150,45432,0,639860,8351376
2025-08-01 01:07:59,2266879,127006,3124374,12880,755147,664069,-79710,0,0,2094150,45432,0,639860,8370367
2025-07-31 01:05:26,687157,62261,3941194,12880,1251713,585729,-154647,0,0,2094150,45432,0,639860,7886009
2025-07-30 01:09:13,1127427,94141,3447459,12880,1235231,542958,-281869,0,0,2094150,45432,0,639860,7677949
2025-07-29 01:05:20,251389,53954,4428007,12880,856953,496744,-184708,0,0,2094150,45432,0,639860,7414940
2025-07-28 01:06:46,826269,779,3813740,12880,974990,456189,-71897,0,0,2094150,45432,0,639860,7512672
2025-07-27 01:14:36,1047956,8539,4031627,12880,558514,376405,-87249,0,0,2094150,45432,0,639860,7448394
