Timestamp,All income,All expenses,From retail,From customers,From exchange,From interest,From poaching,To suppliers,To exchange,To employees,To executives,For interest,For fees,For accounting,Investment in bonds,Bonds,Game income
2025-07-19 01:04:57,153733,-230040,153733,0,0,0,0,-108000,0,-115317,-6723,0,0,0,0,0,0
2025-07-18 01:12:14,814643,-568550,246643,0,500000,0,0,-54000,-74591,-373236,-46723,0,-20000,0,0,0,68000
2025-07-17 01:14:43,1340458,-473127,261539,0,1078919,0,0,-184000,-23847,-215400,-6723,0,-43157,0,0,0,0
2025-07-16 01:05:12,304617,-377495,304617,0,0,0,0,0,0,-370772,-6723,0,0,0,0,0,0
2025-07-15 01:11:27,288970,-269228,288970,0,0,0,0,-130000,0,-132505,-6723,0,0,0,0,0,0
2025-07-14 01:11:31,339108,-588274,339108,0,0,0,0,-130000,0,-451551,-6723,0,0,0,0,0,0
2025-07-13 01:06:23,261051,-167932,261051,0,0,0,0,-130000,0,-31209,-6723,0,0,0,0,0,0
2025-07-12 01:18:40,403914,-752566,387182,0,0,0,0,-184000,0,-561843,-6723,0,0,0,0,0,0
2025-07-11 01:07:00,1263089,-431542,242335,0,1020754,0,0,-314000,0,-40201,-46723,0,-30618,0,0,0,0
2025-07-10 01:05:10,601241,-504957,235474,0,365767,0,0,-54000,-60358,-372898,-6723,0,-10978,0,0,0,0
2025-07-09 01:08:04,293938,-315425,293938,0,0,0,0,-184000,0,-124702,-6723,0,0,0,0,0,0
2025-07-08 01:14:20,258538,-624524,258538,0,0,0,0,-184000,0,-433801,-6723,0,0,0,0,0,0
2025-07-07 01:06:00,347369,-372000,347369,0,0,0,0,-184000,0,-141277,-46723,0,0,0,0,0,0
2025-07-06 01:10:59,235841,-148654,235841,0,0,0,0,-130000,0,-11931,-6723,0,0,0,0,0,0
2025-07-05 01:15:51,40892,-551961,40892,0,0,0,0,0,-38645,-506593,-6723,0,0,0,0,0,0
2025-07-04 01:03:06,315821,-176723,315821,0,0,0,0,-130000,0,0,-46723,0,0,0,0,0,0
2025-07-03 01:14:58,1227428,-779159,735632,0,491796,0,0,-184000,-7024,-559935,-13446,0,-14754,0,0,0,0
2025-07-01 01:02:43,0,-6723,0,0,0,0,0,0,0,0,-6723,0,0,0,0,0,0
2025-06-30 01:09:10,270720,-596539,270720,0,0,0,0,-130000,0,-459816,-6723,0,0,0,0,0,0
2025-06-29 01:04:05,0,-6723,0,0,0,0,0,0,0,0,-6723,0,0,0,0,0,0
2025-06-28 01:06:54,306078,-671657,306078,0,0,0,0,-130000,0,-534934,-6723,0,0,0,0,0,0
2025-06-27 01:07:33,558162,-346081,272162,0,286000,0,0,-130000,-778,0,-6723,0,-8580,0,0,-200000,0
2025-06-26 01:06:27,96177,-609495,96177,0,0,0,0,-184000,0,-377772,-46723,-1000,0,0,0,0,0
2025-06-25 01:06:14,507106,-741588,181309,0,325797,0,0,-184000,-367148,-172950,-6723,-1000,-9767,0,0,0,0
2025-06-24 01:08:53,275179,-357706,275179,0,0,0,0,0,0,-119983,-36723,-1000,0,0,0,-200000,0
2025-06-23 01:09:46,831031,-508140,267385,0,563646,0,0,-184000,-7131,-253073,-45028,-2000,-16908,0,0,0,0
2025-06-22 01:06:13,689099,-485011,313529,0,375570,0,0,-184000,-1945,-284410,-1388,-2000,-11268,0,0,0,0
2025-06-21 01:13:22,1462233,-577852,196396,0,1265837,0,0,-76000,-44703,-262178,-4987,-2000,-37983,0,0,-150000,0
2025-06-20 01:07:00,242706,-401873,242706,0,0,0,0,-130000,0,-264136,-4987,-2750,0,0,0,0,0
2025-06-19 01:07:26,223469,-301896,223469,0,0,0,0,-184000,0,-110159,-4987,-2750,0,0,0,0,0
2025-07-25 01:02:57,650831,-837701,178931,0,471900,0,0,-190600,-77152,-544350,-6723,0,-18876,0,0,0,0
