Timestamp,Sales,COGS,Freight Out,Construction,Exchange Fees,Salaries,Training,Poaching,Achievements Referrals PA,Patent Conversion,Bond Defaults,Bond Writeoffs,Accounting Overhead,Bond Interest Expense,Bond Interest Income,Donations,Other Comprehensive Income,NetIncome
2025-07-19 01:04:57,246186,-171215,0,0,0,-6723,0,0,0,0,0,0,0,0,0,0,48012,68248
2025-07-18 01:12:14,757910,-489769,-23592,0,-20000,-6723,-40000,0,68000,528,0,0,0,0,0,0,76274,246354
2025-07-17 01:14:43,1316133,-952039,-23847,0,-43157,-6723,0,0,0,0,0,0,0,0,0,0,-58386,290367
2025-07-16 01:05:12,295283,-203982,0,0,0,-6723,0,0,0,0,0,0,0,0,0,0,-16640,84578
2025-07-15 01:11:27,313565,-215874,0,0,0,-6723,0,0,0,0,0,0,0,0,0,0,19149,90968
2025-07-14 01:11:31,311611,-214229,0,-44942,0,-6723,0,0,0,0,0,0,0,0,0,0,55070,45717
2025-07-13 01:06:23,308921,-212126,0,0,0,-6723,0,0,0,0,0,0,0,0,0,0,-18267,90072
2025-07-12 01:18:40,264543,-198378,0,-33706,0,-6723,0,0,0,0,0,0,0,0,0,0,-16658,25736
2025-07-11 01:07:00,1329609,-1056134,-44435,0,-30618,-6723,-40000,0,0,0,0,0,0,0,0,0,131985,151699
2025-07-10 01:05:10,636775,-489879,-15922,0,-10978,-6723,0,0,0,0,0,0,0,0,0,0,2820,113273
2025-07-09 01:08:04,289855,-201896,0,0,0,-6723,0,0,0,0,0,0,0,0,0,0,-21961,81236
2025-07-08 01:14:20,268418,-186611,0,0,0,-6723,0,0,0,0,0,0,0,0,0,0,-50090,75084
2025-07-07 01:06:00,313669,-216708,0,0,0,-6723,-40000,0,0,0,0,0,0,0,0,0,9467,50238
2025-07-06 01:10:59,268827,-185676,0,0,0,-6723,0,0,0,0,0,0,0,0,0,0,-16926,76428
2025-07-05 01:15:51,44177,-30577,0,0,0,-6723,0,0,0,0,0,0,0,0,0,0,-2478,6877
2025-07-04 01:03:06,317910,-220417,0,0,0,-6723,-40000,0,0,0,0,0,0,0,0,0,25589,50770
2025-07-03 01:14:58,936275,-666696,-7024,0,-14754,-13446,0,0,0,0,0,0,0,0,0,0,-29298,234355
